sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1480,FentaNYL,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025120385,1154029,fentanyl,Drug,MAPS_TO,,<auto>,1741025057355,
1577,Cefuroxim,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025120934,1778162,cefuroxime,Drug,MAPS_TO,,<auto>,1741025057369,
1533,Thiamin,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025978877,19137312,thiamine,Drug,MAPS_TO,,<auto>,1741025057380,
1815,Miconazol,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,907879,miconazole,Drug,MAPS_TO,,<auto>,1741025057467,
1924,ZzColistin,-1,,0.39,APPROVED,EQUAL,Finn Fassbender,1741025122793,901845,colistin,Drug,MAPS_TO,,<auto>,1741025057471,
1630,Kalium,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025123433,19049024,potassium,Drug,MAPS_TO,,<auto>,1741025057512,
1868,Pegfilgrastim,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025124806,1325608,pegfilgrastim,Drug,MAPS_TO,,<auto>,1741025057523,
1734,BUPivacain 0.5%,-1,,0.67,APPROVED,EQUAL,Finn Fassbender,1744840042678,732893,bupivacaine,Drug,MAPS_TO,,Finn Fassbender,1744840041398,
1536,Enoxaparin prophylakt.,-1,,0.51,APPROVED,EQUAL,Finn Fassbender,1741025179044,1301025,enoxaparin,Drug,MAPS_TO,,<auto>,1741025057978,
1804,Celecoxib,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025179366,1118084,celecoxib,Drug,MAPS_TO,,<auto>,1741025058032,
1485,Fibrinogen,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025180093,19054702,fibrinogen,Drug,MAPS_TO,,<auto>,1741025058079,
