icd9,icd10,description
0010,A000,Cholera due to vibrio cholerae
0011,A001,Cholera due to vibrio cholerae el tor
0019,A009,"Cholera, unspecified"
0020,A0100,Typhoid fever
0021,A011,Paratyphoid fever A
0022,A012,Paratyphoid fever B
0023,A013,Paratyphoid fever C
0029,A014,"Paratyphoid fever, unspecified"
0030,A020,Salmonella gastroenteritis
0031,A021,Salmonella septicemia
00320,A0220,"Localized salmonella infection, unspecified"
00321,A0221,Salmonella meningitis
00322,A0222,Salmonella pneumonia
00323,A0223,Salmonella arthritis
00324,A0224,Salmonella osteomyelitis
00329,A0229,Other localized salmonella infections
0038,A028,Other specified salmonella infections
0039,A029,"Salmonella infection, unspecified"
0040,A030,Shigella dysenteriae
0041,A031,Shigella flexneri
0042,A032,Shigella boydii
0043,A033,Shigella sonnei
0048,A038,Other specified shigella infections
0049,A039,"Shigellosis, unspecified"
0050,A050,Staphylococcal food poisoning
0051,A051,Botulism food poisoning
0052,A052,Food poisoning due to Clostridium perfringens (C. welchii)
0053,A058,Food poisoning due to other Clostridia
0054,A053,Food poisoning due to Vibrio parahaemolyticus
00581,A055,Food poisoning due to Vibrio vulnificus
00589,A054,Other bacterial food poisoning
00589,A058,Other bacterial food poisoning
0059,A059,"Food poisoning, unspecified"
0060,A060,Acute amebic dysentery without mention of abscess
0061,A061,Chronic intestinal amebiasis without mention of abscess
0062,A062,Amebic nondysenteric colitis
0063,A064,Amebic liver abscess
0064,A065,Amebic lung abscess
0065,A066,Amebic brain abscess
0066,A067,Amebic skin ulceration
0068,A0689,Amebic infection of other sites
0069,A069,"Amebiasis, unspecified"
0070,A070,Balantidiasis
0071,A071,Giardiasis
0072,A073,Coccidiosis
0073,A078,Intestinal trichomoniasis
0074,A072,Cryptosporidiosis
0075,A074,Cyclosporiasis
0078,A078,Other specified protozoal intestinal diseases
0079,A079,Unspecified protozoal intestinal disease
00800,A044,"Intestinal infection due to E. coli, unspecified"
00801,A040,Intestinal infection due to enteropathogenic E. coli
