icd9,icd10,description
1,6A750Z4,Therapeutic ultrasound of vessels of head and neck
1,6A751Z4,Therapeutic ultrasound of vessels of head and neck
2,6A750Z5,Therapeutic ultrasound of heart
2,6A751Z5,Therapeutic ultrasound of heart
3,6A750Z6,Therapeutic ultrasound of peripheral vascular vessels
3,6A751Z6,Therapeutic ultrasound of peripheral vascular vessels
9,6A750Z7,Other therapeutic ultrasound
9,6A750ZZ,Other therapeutic ultrasound
9,6A751Z7,Other therapeutic ultrasound
9,6A751ZZ,Other therapeutic ultrasound
9,6A930ZZ,Other therapeutic ultrasound
9,6A931ZZ,Other therapeutic ultrasound
10,3E00X05,Implantation of chemotherapeutic agent
10,3E01305,Implantation of chemotherapeutic agent
10,3E02305,Implantation of chemotherapeutic agent
10,3E0A305,Implantation of chemotherapeutic agent
10,3E0F305,Implantation of chemotherapeutic agent
10,3E0F705,Implantation of chemotherapeutic agent
10,3E0F805,Implantation of chemotherapeutic agent
10,3E0G305,Implantation of chemotherapeutic agent
10,3E0G705,Implantation of chemotherapeutic agent
10,3E0G805,Implantation of chemotherapeutic agent
10,3E0H305,Implantation of chemotherapeutic agent
10,3E0H705,Implantation of chemotherapeutic agent
10,3E0H805,Implantation of chemotherapeutic agent
10,3E0J305,Implantation of chemotherapeutic agent
10,3E0J705,Implantation of chemotherapeutic agent
10,3E0J805,Implantation of chemotherapeutic agent
10,3E0K305,Implantation of chemotherapeutic agent
10,3E0K705,Implantation of chemotherapeutic agent
10,3E0K805,Implantation of chemotherapeutic agent
10,3E0L305,Implantation of chemotherapeutic agent
10,3E0L705,Implantation of chemotherapeutic agent
10,3E0M305,Implantation of chemotherapeutic agent
10,3E0M705,Implantation of chemotherapeutic agent
10,3E0N305,Implantation of chemotherapeutic agent
10,3E0N705,Implantation of chemotherapeutic agent
10,3E0N805,Implantation of chemotherapeutic agent
10,3E0P305,Implantation of chemotherapeutic agent
10,3E0P705,Implantation of chemotherapeutic agent
10,3E0P805,Implantation of chemotherapeutic agent
10,3E0Q005,Implantation of chemotherapeutic agent
10,3E0Q305,Implantation of chemotherapeutic agent
10,3E0Q705,Implantation of chemotherapeutic agent
10,3E0R305,Implantation of chemotherapeutic agent
10,3E0S305,Implantation of chemotherapeutic agent
10,3E0V305,Implantation of chemotherapeutic agent
10,3E0W305,Implantation of chemotherapeutic agent
10,3E0Y305,Implantation of chemotherapeutic agent
10,3E0Y705,Implantation of chemotherapeutic agent
11,3E03016,Infusion of drotrecogin alfa (activated)
11,3E03316,Infusion of drotrecogin alfa (activated)
11,3E04016,Infusion of drotrecogin alfa (activated)
11,3E04316,Infusion of drotrecogin alfa (activated)
11,3E05016,Infusion of drotrecogin alfa (activated)
11,3E05316,Infusion of drotrecogin alfa (activated)
11,3E06016,Infusion of drotrecogin alfa (activated)
11,3E06316,Infusion of drotrecogin alfa (activated)
11,3E07016,Infusion of drotrecogin alfa (activated)
11,3E07316,Infusion of drotrecogin alfa (activated)
11,3E08016,Infusion of drotrecogin alfa (activated)
11,3E08316,Infusion of drotrecogin alfa (activated)
12,3E0F7SD,Administration of inhaled nitric oxide
13,3E030VH,Injection or infusion of nesiritide
13,3E033VH,Injection or infusion of nesiritide
13,3E040VH,Injection or infusion of nesiritide
13,3E043VH,Injection or infusion of nesiritide
13,3E050VH,Injection or infusion of nesiritide
13,3E053VH,Injection or infusion of nesiritide
13,3E060VH,Injection or infusion of nesiritide
13,3E063VH,Injection or infusion of nesiritide
14,3E00X28,Injection or infusion of oxazolidinone class of antibiotics
14,3E01328,Injection or infusion of oxazolidinone class of antibiotics
14,3E02328,Injection or infusion of oxazolidinone class of antibiotics
14,3E03028,Injection or infusion of oxazolidinone class of antibiotics
14,3E03328,Injection or infusion of oxazolidinone class of antibiotics
14,3E04028,Injection or infusion of oxazolidinone class of antibiotics
14,3E04328,Injection or infusion of oxazolidinone class of antibiotics
14,3E05028,Injection or infusion of oxazolidinone class of antibiotics
14,3E05328,Injection or infusion of oxazolidinone class of antibiotics
14,3E06028,Injection or infusion of oxazolidinone class of antibiotics
14,3E06328,Injection or infusion of oxazolidinone class of antibiotics
14,3E09328,Injection or infusion of oxazolidinone class of antibiotics
14,3E09728,Injection or infusion of oxazolidinone class of antibiotics
14,3E09X28,Injection or infusion of oxazolidinone class of antibiotics
14,3E0B328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0B728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0BX28,Injection or infusion of oxazolidinone class of antibiotics
14,3E0C328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0C728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0CX28,Injection or infusion of oxazolidinone class of antibiotics
14,3E0D328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0D728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0DX28,Injection or infusion of oxazolidinone class of antibiotics
14,3E0E328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0E728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0E828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0F328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0F728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0F828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0G328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0G728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0G828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0H328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0H728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0H828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0J328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0J728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0J828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0K328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0K728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0K828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0L328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0M328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0N328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0N728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0N828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0P328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0P728,Injection or infusion of oxazolidinone class of antibiotics
14,3E0P828,Injection or infusion of oxazolidinone class of antibiotics
14,3E0Q028,Injection or infusion of oxazolidinone class of antibiotics
14,3E0Q328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0R328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0S328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0U028,Injection or infusion of oxazolidinone class of antibiotics
14,3E0U328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0V328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0W328,Injection or infusion of oxazolidinone class of antibiotics
14,3E0Y328,Injection or infusion of oxazolidinone class of antibiotics
15,3E03002,High-dose infusion interleukin-2 [IL-2]
15,3E03302,High-dose infusion interleukin-2 [IL-2]
15,3E04002,High-dose infusion interleukin-2 [IL-2]
15,3E04302,High-dose infusion interleukin-2 [IL-2]
15,3E05002,High-dose infusion interleukin-2 [IL-2]
15,3E05302,High-dose infusion interleukin-2 [IL-2]
15,3E06002,High-dose infusion interleukin-2 [IL-2]
15,3E06302,High-dose infusion interleukin-2 [IL-2]
15,3E0R302,High-dose infusion interleukin-2 [IL-2]
15,3E0S302,High-dose infusion interleukin-2 [IL-2]
