labname,labmeasurenamesystem
-bands,%
-basos,%
-eos,%
-lymphs,%
-monos,%
-polys,%
24 h urine protein,mg/24HR
24 h urine urea nitrogen,G/24HR
Acetaminophen,mcg/mL
albumin,g/dL
alkaline phos.,Units/L
ALT (SGPT),Units/L
Amikacin - peak,mcg/mL
Amikacin - trough,mcg/mL
ammonia,mcg/dL
amylase,Units/L
AST (SGOT),Units/L
Base Deficit,mEq/L
Base Excess,mEq/L
bedside glucose,mg/dL
bicarbonate,mmol/L
BNP,pg/mL
BUN,mg/dL
calcium,mg/dL
Carbamazepine,mcg/mL
Carboxyhemoglobin,%
chloride,mmol/L
cortisol,mcg/dL
CPK,Units/L
CPK-MB INDEX,%
CPK-MB,ng/mL
creatinine,mg/dL
CRP,mg/dL
CRP-hs,mg/L
Digoxin,ng/mL
direct bilirubin,mg/dL
ESR,mm/hr
ethanol,mg/dL
Fe,mcg/dL
Fe/TIBC Ratio,%
Ferritin,ng/mL
fibrinogen,mg/dL
FiO2,%
folate,ng/mL
free T4,ng/dL
Gentamicin - peak,mcg/mL
Gentamicin - random,mcg/mL
Gentamicin - trough,mcg/mL
glucose - CSF,mg/dL
glucose,mg/dL
haptoglobin,mg/dL
HCO3,mmol/L
Hct,%
HDL,mg/dL
Hgb,g/dL
ionized calcium,mg/dL
lactate,mmol/L
LDH,Units/L
LDL,mg/dL
lipase,Units/L
Lithium,mmol/L
LPM O2,L/min
magnesium,mg/dL
MCH,pg
MCHC,g/dL
MCV,fL
Methemoglobin,%
MPV,fL
myoglobin,ng/mL
O2 Content,mls/dL
O2 Sat (%),%
Oxyhemoglobin,%
paCO2,mm Hg
paO2,mm Hg
Peak Airway/Pressure,cm H2O
PEEP,cm H2O
Phenobarbital,mcg/mL
Phenytoin,mcg/mL
phosphate,mg/dL
platelets x 1000,K/mcL
potassium,mmol/L
prealbumin,mg/dL
Pressure Control,cm H2O
Pressure Support,cm H2O
prolactin,ng/mL
protein - CSF,mg/dL
protein C,%
protein S,%
PT - INR,ratio
PT,sec
PTT ratio,ratio
PTT,sec
RBC,M/mcL
RDW,%
Respiratory Rate,/min
reticulocyte count,%
salicylate,mg/dL
serum osmolality,mOsm/kg H2O
sodium,mmol/L
Spontaneous Rate,/min
T3,ng/dL
T3RU,%
T4,mcg/dL
Tacrolimus-FK506,ng/mL
Temperature,&#176;C
Theophylline,mcg/mL
TIBC,mcg/dL
Tobramycin - peak,mcg/mL
Tobramycin - random,mcg/mL
Tobramycin - trough,mcg/mL
total bilirubin,mg/dL
total cholesterol,mg/dL
total protein,g/dL
transferrin,mg/dL
triglycerides,mg/dL
troponin - I,ng/mL
troponin - T,ng/mL
TSH,mcU/ml
TV,mls
uric acid,mg/dL
urinary creatinine,mg/dL
urinary osmolality,mOsm/L
urinary sodium,mmol/L
Vancomycin - random,mcg/mL
Vancomycin - trough,mcg/mL
Vent Rate,/min
Vitamin B12,pg/mL
WBC x 1000,K/mcL
