celllabel,count,class
D5W,201,5% Dextrose
D51/2NS IVF,904,5% Dextrose Half Normal Saline
D5NS ,363,5% Dextrose Normal Saline
D5NS IVF,290,5% Dextrose Normal Saline
D5 0.45 NS ,199,5% Dextrose Normal Saline
Bodyweight (kg),4200,Bodyweight (kg)
Bodyweight (lb),4199,Bodyweight (lb)
Crystalloids,1406,Crystalloids
Enteral Formula Volume/Bolus Amt (mL),1196,Enteral Nutrition
Gastric (NG),571,Enteral Nutrition
Enteral/Gastric Tube Intake #1,543,Enteral Nutrition
Gastric Tube Intake,383,Enteral Nutrition
0.45 NS ,235,Half Normal Saline
IVPB,2019,IV piggyback
Continuous infusion meds,3072,Infusion
I.V.,376,Infusion
"Intake, IV Amount",213,Infusion
Volume (mL)-lactated ringers infusion,348,Lactated Ringers
LR IVF,272,Lactated Ringers
LR ,258,Lactated Ringers
Other meds,1140,Medications
propofol,285,Medications
Volume (mL) Magnesium ,257,Medications
diltiazem,210,Medications
Heparin (NS 0.45%)-IN,207,Medications
heparin,186,Medications
NS IVF,2879,Normal Saline
NS ,2294,Normal Saline
Volume (mL)-0.9 %  sodium chloride infusion,772,Normal Saline
Volume (mL)-0.9 % sodium chloride solution,756,Normal Saline
Volume (mL)-sodium chloride 0.9% infusion,350,Normal Saline
NS b IVF,235,Normal Saline
P.O.,3382,Oral Intake
Oral Intake,1520,Oral Intake
P.O. Intake,1125,Oral Intake
Feeding Tube Flush/Water Bolus Amt (mL),483,Oral Intake
PO fluids,435,Oral Intake
Oral,336,Oral Intake
"Intake, Oral Amount",261,Oral Intake
pRBCs,462,Packed Red Blood Cells
TPN,665,Parenteral Nutrition
Stool,2149,Stool
Total Intake,206,Total Intake
Urine,32649,Urine
URINE CATHETER,3818,Urine
Urinary Catheter Output: Indwelling/Continuous Ure,1733,Urine
Indwelling Catheter Output,1330,Urine
Urine Count,293,Urine
Nutrition Total,364,
amiodarone,185,
Actual Patient Fluid Removal,177,
% Meal Eaten,176,
Tube Flush/Meds,174,
Urine Output-Foley,174,
D10W,161,
Volume (mL)-dextrose 5 % and 0.45 % sodium chloride with KCl 20 mEq/L infusion,153,
Tube Feeding,153,
Enteral Osmolite 1.5,152,
Volume (ml) Norepinephrine,150,
Enteral Tube Intake: Transgastric-Jejunal Abdomina,145,
PO PO,141,
1/2NS IVF,140,
insulin regular,139,
norepinephrine,137,
Volume (mL)-0.45 % sodium chloride solution,133,
Per IV Flush: Antecubital R 20 gauge,131,
Volume (mL)-0.9 % NaCl with KCl 20 mEq/ L  infusion,129,
PO oral,128,
Volume (ml) Insulin,128,
IVPB Volume (ml),127,
Volume (mL)-dextrose 5 %-0.45 % sodium chloride infusion,126,
nitroglycerin,123,
Chest Tube A Amount,121,
Volume Expanders,121,
PO -,120,
Volume (mL)-0.45 % sodium chloride infusion,118,
Enteral Tube Intake: Orogastric Oral,117,
Gastric Tube Amount of Irrigant,112,
Emesis,112,
TOTAL IN,111,
Dobutamine-IN,110,
niCARdipine,109,
Out,107,
Foley cath,106,
TOTAL OUT,105,
Total Lumen Flushes,104,
Volume (ml) Dopamine,103,
Vascular 2 Flush Amount (mL),103,
Volume Given (mL),103,
Volume (mL) Norepinephrine,103,
Volume Infused  (mL),103,
FFP,99,
Enteral Replete,99,
DOPAMINE,98,
Enteral Tube Intake: Orogastric Oral 16 fr,98,
Blood Loss,97,
Hemofiltration,96,
Enteral Pivot 1.5,95,
Per IV Flush: Antecubital L 20 gauge,95,
Electrolyte Other (volume),95,
"Output, Stool Amount",95,
Stool Occurrence,95,
milrinone,95,
Tube Feeding Flush (mL),93,
Vascular Flush Amount (mL),92,
Volume (ml) Propofol,92,
Output (mL)-Urethral Catheter Non-latex 16 Fr.,91,
Insulin,90,
Enteral Tube Intake: Percutaneous endo gastrostomy,90,
Propofol,89,
Volume (mL) Insulin ,89,
Total Amount (mcg)-fentaNYL PCA 50 mcg/mL,89,
Enteral isosource,89,
PO liquids,86,
Volume (mL) Diltiazem,85,
PO Fluids,85,
phenylephrine,82,
IV Other,82,
D5W  w/150 mEq NaHCO3,81,
Dobutamine (NS)-IN,81,
Norepinephrine V3-IN,79,
Volume (ml) Midazolam,78,
Output (mL)-Closed/Suction Drain Right Abdomen Bulb 7 Fr.,77,
Fentanyl,77,
PO intake,76,
D5W ,75,
Chest Tube Output: Mediastinal R Anterior,75,
LR,74,
D5 0.45 NS  w/20 mEq KCL,73,
INTAKE,71,
Volume (mL)-0.9 % sodium chloride with potassium chloride 20 mEq/L infusion,71,
Volume (mL)-dextrose 5 % / sodium chloride 0.45% with KCl 20 mEq infusion,71,
Per IV Flush: Forearm R 20 gauge,70,
Volume (mL)-metroNIDAZOLE (FLAGYL) IV 500 mg,70,
Plasmalyte ,69,
"Surgical Drain, Tube Output: Bulb-closed system Ab",69,
Saline Flush (mL),68,
"Intake, TPN/PPN Amount",66,
Colloids Total,66,
Volume (mL)-piperacillin-tazobactam (ZOSYN) 3.375 g in sodium chloride 0.9 % 100 mL IVPB,66,
Platelets,66,
Volume (mL)-dextrose 5 %-0.9 % sodium chloride infusion,65,
Chest Tube Output: Mediastinal Anterior,65,
Total In,64,
levophed,64,
"Enteral Tube Intake: Nasoduodenal Nostril, R",64,
Volume (mL)-dextrose 5 % / sodium chloride 0.45% infusion,62,
Lipids,62,
PO Oral,61,
PO .,60,
Total Out,60,
Per IV Flush: Forearm L 20 gauge,60,
Volume (ml) Amiodarone,58,
Per IV Flush: Hand R 20 gauge,56,
Volume (mL) Fentanyl,56,
CL PICC Total Lumen Flushes,56,
NG Tube,55,
Volume (mL)-piperacillin-tazobactam (ZOSYN) IVPB 3.375 g,54,
Voided Amount,53,
IV Drips,53,
NS  w/40 mEq KCL 1000 ml,53,
Hypertonic saline 3% ,51,
Analgesic Other (Volume),50,
Output (mL)-Urethral Catheter Straight-tip 14 Fr.,50,
PO cardiac,49,
Enteral Flush/meds,49,
Volume (ml) Lipids,49,
Urinary Catheter Output: Indwelling/Continuous Sup,48,
CL Flush: IJ R,48,
NS,48,
CL Flush: Chest R,47,
Enteral Nutren 1.5,46,
PO Liquids,46,
Volume-Transfuse red blood cells,46,
Volume (mL)-dextrose 5 % and 0.9% NaCl infusion,45,
PO po fluids,45,
Vascular 3 Flush Amount (mL),45,
PPN,44,
In,44,
Total Intake ,44,
Chest Tube Output: Mediastinal L Anterior,44,
CL Flush: Coated Catheter IJ R 7F,44,
Fat emulsion,44,
Per IV Flush: Antecubital L 18 gauge,43,
PO Intake,43,
D5W  w/100 mEq NaHCO3 1000 ml,42,
Nephrostomy,42,
Other,42,
Versed,42,
EVD,41,
Per IV Flush: Basilic L 20 gauge,41,
Misc.,41,
CL Flush: Pressure/Power inj Periph. Inserted Cent,41,
Per IV Flush: Forearm L 18 gauge,40,
Chest Tube Output: Pleural R Lateral,40,
Pantoprazole (NS)-IN,39,
PO FLUIDS,39,
Volume (mL)-sodium bicarbonate in D5W premix 150 mEq/1000 mL,39,
Volume (mL) Vasopressin,38,
CISATRACURIUM,38,
Volume (mL) Pantoprazole,38,
Volume (mL)-potassium chloride 10 mEq in 100 mL IVPB,37,
"Enteral Tube Intake: Nasogastric Nostril, R",37,
"CL Flush: Coated Catheter, Pressure/power inj IJ R",37,
Chest Tube C Amount,36,
D5LR IVF,36,
Drain 2 Output mL,35,
Volume (mL)-sodium chloride 0.9 % flush IVPB 500 mL,35,
Volume (mL) Phenylephrine ,35,
PO:,35,
PO fluid,35,
IV Intake Amount,34,
Enteral Flush,34,
Volume (ml) Phenylephrine,34,
Drain 1 Output mL,34,
ChestTube Total,34,
