Variable Name,Unit
Heart rate,/min
Core body temperature,°C
Rectal temperature,°C
Axillary temperature,°C
Invasive systolic arterial pressure,mmHg
Invasive diastolic arterial pressure,mmHg
Invasive mean arterial pressure,mmHg
Non-invasive systolic arterial pressure,mmHg
Non-invasive diastolic arterial pressure,mmHg
Non-invasive mean arterial pressure,mmHg
Pulmonary artery mean pressure,mmHg
Pulmonary artery systolic pressure,mmHg
Pulmonary artery diastolic pressure,mmHg
Pulmonary artery wedge pressure,mmHg
Cardiac output,l/min
Mixed venous oxygen saturation,%
Central venous pressure,mmHg
Central venous pressure,mmHg
Central venous pressure,mmHg
ST elevation,mm
ST elevation,mm
ST elevation,mm
Circadian rhythm,Categorical ['SR'; 'SB'; 'ST'; 'AF'; 'Nodal'; 'Paced'; 'PM'; 'AV bl (I)'; 'AV bl (II)'; 'AV bl (III)'; 'Vfli'; 'Vfla'; 'Kammerrhythm'; 'Kfli'; 'Asystolie';  'Sinusarrhyth']
Peripheral oxygen saturation,%
Peripheral oxygen saturation,%
End tidal carbon dioxide concentration,mmHg
End tidal carbon dioxide concentration,mmHg
End tidal carbon dioxide concentration,mmHg
Respiratory rate,/min
Respiratory rate,/min
Respiratory rate,/min
Oxygen administration by mask,l/min
Oxygen administration by nasal cannula,l/min
Inspired oxygen concentration,%
Positive end expiratory pressure setting,cmH2O
Positive end expiratory pressure,cmH2O
Ventilator mode,Categorical
Expiratory tidal volume,ml
Tidal volume setting,ml
Peak inspiratory pressure,cmH2O
Plateau pressure,cmH2O
Mean inspiratory airway pressure,cmH2O
Ventilator rate,/min
Ventilator Airway Code,Categorical
Hourly urine volume,ml/h
Glasgow Coma Score verbal response subscore,Ordinal Score
Glasgow Coma Score motor response subscore,Ordinal Score
Glasgow Coma Score eye opening subscore,Ordinal Score
Richmond agitation-sedation scale,Ordinal Score
Intracranial pressure,mmHg
Intracranial pressure,mmHg
Intracranial pressure,mmHg
Measurement of output from drain,ml
Measurement of output from drain,ml
Measurement of output from drain,ml
Measurement of output from drain,ml
Train of four count,Ordinal Score
Fluid balance,cummulative
Fluid balance,cummulative
Infusion of saline solution,cummulative
Intravenous fluid colloid administration,cummulative
Body weight,kg
Body height measure,cm
APACHE II Group,
APACHE IV Group,
Base excess in Arterial blood by calculation,mmol/l
Carboxyhemoglobin/Hemoglobin.total in Arterial blood,%
Hemoglobin [Mass/volume] in Arterial blood,g/L
Bicarbonate [Moles/volume] in Arterial blood,mmol/l
Lactate [Mass/volume] in Arterial blood,mmol/l
Methemoglobin/Hemoglobin.total in Arterial blood,%
pH of Arterial blood,
Carbon dioxide [Partial pressure] in Arterial blood,mmHg
Oxygen [Partial pressure] in Arterial blood,mmHg
Oxygen saturation in Arterial blood,%
Central venous oxygenation saturation,%
Central venous oxygenation saturation,%
Troponin T.cardiac [Mass/volume] in Serum or Plasma,ng/l
Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,ng/l
Creatine kinase panel - Serum or Plasma,U/l
Creatine kinase.MB [Mass/volume] in Serum or Plasma,U/l
Lactate [Moles/volume] in Venous blood,mmol/l
Lactate [Moles/volume] in Venous blood,mmol/l
Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,pg/ml
Potassium [Moles/volume] in Blood,mmol/l
Potassium [Moles/volume] in Blood,mmol/l
Potassium [Moles/volume] in Blood,mmol/l
Potassium [Moles/volume] in Blood,mmol/l
Sodium [Moles/volume] in Blood,mmol/l
Sodium [Moles/volume] in Blood,mmol/l
Sodium [Moles/volume] in Blood,mmol/l
Sodium [Moles/volume] in Blood,mmol/l
Sodium [Moles/volume] in Blood,mmol/l
Chloride [Moles/volume] in Blood,mmol/l
Chloride [Moles/volume] in Blood,mmol/l
Calcium.ionized [Moles/volume] in Blood,mmol/l
Calcium [Moles/volume] in Blood,mmol/l
Phosphate [Moles/volume] in Blood,mmol/l
Magnesium [Moles/volume] in Blood,mmol/l
Urea [Moles/volume] in Venous blood,mmol/l
Creatinine [Moles/volume] in Blood,umol/l
Creatinine [Moles/volume] in Urine,umol/l
Creatinine [Moles/volume] in Urine,umol/l
Sodium [Moles/volume] in Urine,mmol/l
Urea [Moles/volume] in Urine,mmol/l
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/l
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/l
Bilirubin.total [Moles/volume] in Serum or Plasma,umol/l
Bilirubin.direct [Mass/volume] in Serum or Plasma,umol/l
Alkaline phosphatase [Enzymatic activity/volume] in Blood,U/l
Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,U/l
aPTT in Blood by Coagulation assay,Sek
Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,g/L
Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay,%
Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,%
Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,%
Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,%
INR in Blood by Coagulation assay,
Albumin [Mass/volume] in Serum or Plasma,g/L
Glucose [Moles/volume] in Serum or Plasma,mmol/l
Glucose [Moles/volume] in Serum or Plasma,mmol/l
Glucose [Moles/volume] in Serum or Plasma,mmol/l
Ammonia [Moles/volume] in Blood,umol/l
C reactive protein [Mass/volume] in Serum or Plasma,mg/l
Procalcitonin [Mass/volume] in Serum or Plasma,ug/l
Lymphocytes [#/volume] in Blood,G/l
Neutrophils/100 leukocytes in Blood,%
Segmented neutrophils/100 leukocytes in Blood,%
Band form neutrophils/100 leukocytes in Blood,%
Erythrocyte sedimentation rate,mm/1h
Hemoglobin [Mass/volume] in Blood,g/l
Hemoglobin [Mass/volume] in Blood,g/l
Leukocytes [#/volume] in Blood,G/l
Platelets [#/volume] in Blood,G/l
MCH [Entitic mass],pg
MCHC [Mass/volume] in Cord blood,g/L
MCV [Entitic volume],fl
Ferritin [Mass/volume] in Blood,ug/l
Thyrotropin [Units/volume] in Serum or Plasma,mU/l
Amylase [Enzymatic activity/volume] in Serum or Plasma,U/l
Lipase [Enzymatic activity/volume] in Serum or Plasma,U/l
Cortisol [Moles/volume] in Serum or Plasma,nmol/l
pH of Cerebral spinal fluid,
