,ITEMID,VALUEUOM,ROW_ID,LABEL,FLUID,CATEGORY,LOINC_CODE
0,50801,mm Hg,2,Alveolar-arterial Gradient,Blood,Blood Gas,19991-9
1,50802,mEq/L,3,Base Excess,Blood,Blood Gas,11555-0
2,50803,mEq/L,4,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,1959-6
3,50804,MEQ/L,5,Calculated Total CO2,Blood,Blood Gas,34728-6
4,50804,mEq/L,5,Calculated Total CO2,Blood,Blood Gas,34728-6
5,50805,%,6,Carboxyhemoglobin,Blood,Blood Gas,20563-3
6,50806,mEq/L,7,"Chloride, Whole Blood",Blood,Blood Gas,2069-3
7,50808,mmol/L,9,Free Calcium,Blood,Blood Gas,1994-3
8,50809,mg/dL,10,Glucose,Blood,Blood Gas,2339-0
9,50810,%,11,"Hematocrit, Calculated",Blood,Blood Gas,20570-8
10,50811,g/dL,12,Hemoglobin,Blood,Blood Gas,718-7
11,50813,mmol/L,14,Lactate,Blood,Blood Gas,32693-4
12,50814,%,15,Methemoglobin,Blood,Blood Gas,2614-6
13,50815,L/min,16,O2 Flow,Blood,Blood Gas,3151-8
14,50816,%,17,Oxygen,Blood,Blood Gas,19994-3
15,50817,%,18,Oxygen Saturation,Blood,Blood Gas,20564-1
16,50818,MM HG,19,pCO2,Blood,Blood Gas,11557-6
17,50818,mm Hg,19,pCO2,Blood,Blood Gas,11557-6
18,50820,UNITS,21,pH,Blood,Blood Gas,11558-4
19,50820,units,21,pH,Blood,Blood Gas,11558-4
20,50821,MM HG,22,pO2,Blood,Blood Gas,11556-8
21,50821,mm Hg,22,pO2,Blood,Blood Gas,11556-8
22,50822,mEq/L,23,"Potassium, Whole Blood",Blood,Blood Gas,6298-4
23,50824,mEq/L,25,"Sodium, Whole Blood",Blood,Blood Gas,2947-0
24,50831,units,32,pH,Other Body Fluid,Blood Gas,2748-2
25,50835,g/dL,36,"Albumin, Ascites",Ascites,Chemistry,1749-1
26,50836,IU/L,37,"Amylase, Ascites",Ascites,Chemistry,1797-0
27,50838,mg/dL,39,"Bilirubin, Total, Ascites",Ascites,Chemistry,14422-0
28,50841,mg/dL,42,"Creatinine, Ascites",Ascites,Chemistry,12191-3
29,50842,mg/dL,43,"Glucose, Ascites",Ascites,Chemistry,2347-3
30,50843,IU/L,44,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,2531-2
31,50849,g/dL,50,"Total Protein, Ascites",Ascites,Chemistry,2883-7
32,50852,%,53,% Hemoglobin A1c,Blood,Chemistry,4548-4
33,50853,ng/mL,54,25-OH Vitamin D,Blood,Chemistry,
34,50856,ug/mL,57,Acetaminophen,Blood,Chemistry,3297-9
35,50861,IU/L,62,Alanine Aminotransferase (ALT),Blood,Chemistry,1742-6
36,50862,g/dL,63,Albumin,Blood,Chemistry,1751-7
37,50863,IU/L,64,Alkaline Phosphatase,Blood,Chemistry,6768-6
38,50864,ng/mL,65,Alpha-Fetoprotein,Blood,Chemistry,1834-1
39,50866,umol/L,67,Ammonia,Blood,Chemistry,16362-6
40,50867,IU/L,68,Amylase,Blood,Chemistry,1798-8
41,50868,mEq/L,69,Anion Gap,Blood,Chemistry,1863-0
42,50878,IU/L,79,Asparate Aminotransferase (AST),Blood,Chemistry,1920-8
43,50881,mg/L,82,Beta-2 Microglobulin,Blood,Chemistry,32731-2
44,50882,mEq/L,83,Bicarbonate,Blood,Chemistry,1963-8
45,50883,mg/dL,84,"Bilirubin, Direct",Blood,Chemistry,1968-7
46,50884,mg/dL,85,"Bilirubin, Indirect",Blood,Chemistry,1971-1
47,50885,mg/dL,86,"Bilirubin, Total",Blood,Chemistry,1975-2
48,50889,mg/L,90,C-Reactive Protein,Blood,Chemistry,1988-5
49,50889,mg/dL,90,C-Reactive Protein,Blood,Chemistry,1988-5
50,50890,mg/dL,91,C3,Blood,Chemistry,4485-9
51,50891,mg/dL,92,C4,Blood,Chemistry,4498-2
52,50892,U/mL,93,CA-125,Blood,Chemistry,10334-1
53,50893,mg/dL,94,"Calcium, Total",Blood,Chemistry,2000-8
54,50895,Ratio,96,Calculated TBG,Blood,Chemistry,3027-0
55,50896,ug/dL,97,Calculated Thyroxine (T4) Index,Blood,Chemistry,32215-6
56,50898,U/mL,99,Cancer Antigen 27.29,Blood,Chemistry,17842-6
57,50899,ug/mL,100,Carbamazepine,Blood,Chemistry,3432-2
58,50900,ng/mL,101,Carcinoembyronic Antigen (CEA),Blood,Chemistry,2039-6
59,50902,mEq/L,103,Chloride,Blood,Chemistry,2075-0
60,50903,Ratio,104,Cholesterol Ratio (Total/HDL),Blood,Chemistry,9322-9
61,50904,mg/dL,105,"Cholesterol, HDL",Blood,Chemistry,2085-9
62,50905,mg/dL,106,"Cholesterol, LDL, Calculated",Blood,Chemistry,2090-9
63,50907,mg/dL,108,"Cholesterol, Total",Blood,Chemistry,2093-3
64,50908,%,109,CK-MB Index,Blood,Chemistry,20569-0
65,50909,ug/dL,110,Cortisol,Blood,Chemistry,2143-6
66,50910,IU/L,111,Creatine Kinase (CK),Blood,Chemistry,2157-6
67,50911,ng/mL,112,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,6773-6
68,50912,mg/dL,113,Creatinine,Blood,Chemistry,2160-0
69,50915,ng/mL,116,D-Dimer,Blood,Chemistry,
70,50917,ng/mL,118,Digoxin,Blood,Chemistry,10535-3
71,50922,mg/dL,123,Ethanol,Blood,Chemistry,5642-4
72,50924,ng/mL,125,Ferritin,Blood,Chemistry,2276-4
73,50924,ng/ml,125,Ferritin,Blood,Chemistry,2276-4
74,50925,ng/mL,126,Folate,Blood,Chemistry,2284-8
75,50926,mIU/mL,127,Follicle Stimulating Hormone,Blood,Chemistry,15067-2
76,50927,IU/L,128,Gamma Glutamyltransferase,Blood,Chemistry,2324-2
77,50929,ug/mL,130,Gentamicin,Blood,Chemistry,35668-3
78,50930,g/dL,131,Globulin,Blood,Chemistry,2336-6
79,50931,mg/dL,132,Glucose,Blood,Chemistry,2345-7
80,50935,MG/DL,136,Haptoglobin,Blood,Chemistry,4542-7
81,50935,mg/dL,136,Haptoglobin,Blood,Chemistry,4542-7
82,50937,Pos/Neg,138,Hepatitis A Virus Antibody,Blood,Chemistry,5183-9
83,50946,mIU/mL,147,Human Chorionic Gonadotropin,Blood,Chemistry,2119-6
84,50949,mg/dL,150,Immunoglobulin A,Blood,Chemistry,2458-8
85,50950,mg/dL,151,Immunoglobulin G,Blood,Chemistry,2465-3
86,50951,mg/dL,152,Immunoglobulin M,Blood,Chemistry,2472-9
87,50952,ug/dL,153,Iron,Blood,Chemistry,2498-4
88,50953,ug/dL,154,"Iron Binding Capacity, Total",Blood,Chemistry,2500-7
89,50954,IU/L,155,Lactate Dehydrogenase (LD),Blood,Chemistry,2532-0
90,50956,IU/L,157,Lipase,Blood,Chemistry,3040-3
91,50958,mIU/mL,159,Luteinizing Hormone,Blood,Chemistry,1599-0
92,50960,mg/dL,161,Magnesium,Blood,Chemistry,2601-3
93,50961,umol/L,162,Methotrexate,Blood,Chemistry,
94,50963,pg/mL,164,NTproBNP,Blood,Chemistry,33762-6
95,50964,MOSM/KG,165,"Osmolality, Measured",Blood,Chemistry,2692-2
96,50964,mOsm/kg,165,"Osmolality, Measured",Blood,Chemistry,2692-2
97,50965,pg/mL,166,Parathyroid Hormone,Blood,Chemistry,2731-8
98,50966,ug/mL,167,Phenobarbital,Blood,Chemistry,3947-9
99,50967,ug/mL,168,Phenytoin,Blood,Chemistry,3967-7
100,50968,ug/mL,169,"Phenytoin, Free",Blood,Chemistry,3969-3
101,50969,%,170,"Phenytoin, Percent Free",Blood,Chemistry,10548-6
