itemid,valueuom,label,fluid,category
50801,mm Hg,Alveolar-arterial Gradient,Blood,Blood Gas
50802,mEq/L,Base Excess,Blood,Blood Gas
50803,mEq/L,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas
50804,mEq/L,Calculated Total CO2,Blood,Blood Gas
50805,%,Carboxyhemoglobin,Blood,Blood Gas
50806,mEq/L,"Chloride, Whole Blood",Blood,Blood Gas
50808,mmol/L,Free Calcium,Blood,Blood Gas
50809,mg/dL,Glucose,Blood,Blood Gas
50810,%,"Hematocrit, Calculated",Blood,Blood Gas
50811,g/dL,Hemoglobin,Blood,Blood Gas
50813,mmol/L,Lactate,Blood,Blood Gas
50814,%,Methemoglobin,Blood,Blood Gas
50815,L/min,O2 Flow,Blood,Blood Gas
50816,%,Oxygen,Blood,Blood Gas
50817,%,Oxygen Saturation,Blood,Blood Gas
50818,mm Hg,pCO2,Blood,Blood Gas
50820,units,pH,Blood,Blood Gas
50821,mm Hg,pO2,Blood,Blood Gas
50822,mEq/L,"Potassium, Whole Blood",Blood,Blood Gas
50824,mEq/L,"Sodium, Whole Blood",Blood,Blood Gas
50831,units,pH,Other Body Fluid,Blood Gas
50835,g/dL,"Albumin, Ascites",Ascites,Chemistry
50836,IU/L,"Amylase, Ascites",Ascites,Chemistry
50838,mg/dL,"Bilirubin, Total, Ascites",Ascites,Chemistry
50840,mg/dL,"Cholesterol, Ascites",Ascites,Chemistry
50841,mg/dL,"Creatinine, Ascites",Ascites,Chemistry
50842,mg/dL,"Glucose, Ascites",Ascites,Chemistry
50843,IU/L,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry
50849,g/dL,"Total Protein, Ascites",Ascites,Chemistry
50852,%,% Hemoglobin A1c,Blood,Chemistry
50853,ng/mL,25-OH Vitamin D,Blood,Chemistry
50856,ug/mL,Acetaminophen,Blood,Chemistry
50861,IU/L,Alanine Aminotransferase (ALT),Blood,Chemistry
50862,g/dL,Albumin,Blood,Chemistry
50863,IU/L,Alkaline Phosphatase,Blood,Chemistry
50864,ng/mL,Alpha-Fetoprotein,Blood,Chemistry
50866,umol/L,Ammonia,Blood,Chemistry
50867,IU/L,Amylase,Blood,Chemistry
50868,mEq/L,Anion Gap,Blood,Chemistry
50869,units,Anti-DGP (IgA/IgG),Blood,Chemistry
50877,IU/mL,Anti-Thyroglobulin Antibodies,Blood,Chemistry
50878,IU/L,Asparate Aminotransferase (AST),Blood,Chemistry
50881,mg/L,Beta-2 Microglobulin,Blood,Chemistry
50882,mEq/L,Bicarbonate,Blood,Chemistry
50883,mg/dL,"Bilirubin, Direct",Blood,Chemistry
50884,mg/dL,"Bilirubin, Indirect",Blood,Chemistry
50885,mg/dL,"Bilirubin, Total",Blood,Chemistry
50889,mg/L,C-Reactive Protein,Blood,Chemistry
50890,mg/dL,C3,Blood,Chemistry
50891,mg/dL,C4,Blood,Chemistry
50892,U/mL,CA-125,Blood,Chemistry
50893,mg/dL,"Calcium, Total",Blood,Chemistry
50895,Ratio,Calculated TBG,Blood,Chemistry
50896,ug/dL,Calculated Thyroxine (T4) Index,Blood,Chemistry
50899,ug/mL,Carbamazepine,Blood,Chemistry
50900,ng/mL,Carcinoembyronic Antigen (CEA),Blood,Chemistry
50902,mEq/L,Chloride,Blood,Chemistry
50903,Ratio,Cholesterol Ratio (Total/HDL),Blood,Chemistry
50904,mg/dL,"Cholesterol, HDL",Blood,Chemistry
50905,mg/dL,"Cholesterol, LDL, Calculated",Blood,Chemistry
50906,mg/dL,"Cholesterol, LDL, Measured",Blood,Chemistry
50907,mg/dL,"Cholesterol, Total",Blood,Chemistry
50908,%,CK-MB Index,Blood,Chemistry
50909,ug/dL,Cortisol,Blood,Chemistry
