item,unit
"1,25-diOH vit D (bloed)",pmol/l
"Amiodaron, desethyl (bloed)",mg/l
"Carbamazepine 10,11 Epox (bloed)",mg/l
"Carbamazepine, monohydroxy (bloed)",mg/l
"Citalopram, desmethyl (bloed)",µg/l
"Clobazam, desmethyl (bloed)",µg/l
"Clomipramine, desmethyl (bloed)",µg/l
"Epileptisch insult (duur, minuten)",min
"Fluoxetine, desmethyl (bloed)",µg/l
"Insp. Rise time (Set, %) nieuw",Geen
"Insp. Rise time (Set, sec) nieuw",sec
"Itraconazol, hydroxy (bloed)",mg/l
"Midazolam + Midazolam, 4-hydroxy (bloed)",µg/l
"Midazolam, 4-hydroxy (bloed)",µg/l
"Mirtazepine + Mirtazepine, desmethyl (bloed)",µg/l
"Mirtazepine, desmethyl (bloed)",µg/l
"Risperidon + Risperidon, hydroxy (bloed)",mg/l
"Risperidon, hydroxy (bloed)",µg/l
"Sertraline, desmethyl (bloed)",µg/l
"Sulfamethoxazol, N4-acetyl (bloed)",mg/l
"Venlafaxine, desmethyl (bloed)",µg/l
25 OH Vitamine D,nmol/l
3-Methoxythyramine (bloed),nmol/l
3-Methoxythyramine (verz. urine),�mol/24uur
6-Methylmercaptopurine (bloed),pmol/RBC
6-Thioguanine nucleotiden (bloed),pmol/RBC
a-1-Antitrypsine (bloed),g/l
a-1-Antitrypsine (droog) (faeces),mg/g
A1-Fr (bloed),g/l
A1-FR. (bloed),Geen
A1-Microglobuline (urine),mg/l
A2-Fr (bloed),g/l
A2-FR. (bloed),Geen
A_ABPm,mmHg
A_Ademfrequentie,/min
A_Apache_Score,Geen
A_Arteri�le_PH,Geen
A_FiO2,Geen
A_Hartfrequentie,/min
A_Hematocriet(%),Geen
A_Leucocyten,10^9/l
A_Serum_Kalium,mmol/l
A_Serum_Kreatinine,�mol/l
A_Serum_Natrium,mmol/l
A_Temperatuur,�C
Aantal prikpogingen,Aantal
Abeta 1-42 (liquor),ng/l
ABP diastolisch II,mmHg
ABP diastolisch,mmHg
ABP gemiddeld II,mmHg
ABP gemiddeld,mmHg
ABP systolisch II,mmHg
ABP systolisch,mmHg
ACE (bloed),E/l
ACE (liquor),E/l
Act.HCO3 (bloed),mmol/l
act.HCO3 (overig),mmol/l
ACTH (bloed),pmol/l
ADA (bloed),E/l
ADA pleuravocht (pleurapunct.),E/l
ADAMST13 act. (bloed),Geen
Adem Frequentie (Set) (2),/min
Adem Frequentie (Set),/min
Ademfreq. Spontaan nieuw,/min
Ademfreq.(2),/min
Ademfreq.,/min
Ademfrequentie Evita,None
Ademfrequentie Monitor,None
Ademfrequentie Spontaan(2),None
Ademfrequentie Spontaan,None
ADP (bloed),�mol/10^11 PLT
Adrenaline  (bloed),nmol/l
Adrenaline (bloed),nmol/l
AF bot fr. (bloed),E/l
AF lever fr.  (bloed),E/l
AFP (bloed),µg/l
AFP (liquor),µg/l
Airtrap(2),ml
Airtrap,ml
ALAT (bloed),E/l
ALAT (overig),E/l
ALAT(=GPT) (divers)-LabZis2,E/l
ALAT,IE/l
Alb-Fr (bloed),g/l
Alb.Chem (bloed),g/l
ALB.CHEM (overig),g/l
Alb.Chem ascitesvocht (ascitesvocht),g/l
Alb.Chem pleuravocht (pleurapunct.),g/l
ALB.FR. (bloed),Geen
Albumine (imm.) (bloed),g/l
Albumine (imm.) (liquor),mg/l
Albumine chemisch,g/l
Aldosteron (bloed),nmol/l
Alfa 2 antiplasmine (bloed),Geen
Alfa 2 antiplasmine activiteit (bloed),Geen
alfa-HBDH (bloed),E/l
Alk. Fosfatase,IE/l
Alk.Fosf. (bloed),E/l
ALK.FOSF. (divers)-LabZis2,E/l
Alprazolam (bloed),µg/l
Aluminium  (bloed),µg/l
Amikacine (bloed),mg/l
Amikacine (liquor),mg/l
Amikacine dal spiegel,mg/l
Amiodaron (bloed),mg/l
AMITRIPTYL (bloed),µg/l
Amitriptyline (bloed),µg/l
Ammoniak  (urine),�mol/l
Ammoniak (bloed),�mol/l
Ammoniak,�mol
Amylase (bloed),E/l
AMYLASE (overig),E/l
Amylase (urine),E/l
Amylase ascitesvocht (ascitesvocht),E/l
Amylase drainvocht (drain),E/l
Amylase in Urine,mmol/l
Amylase pleuravocht (pleurapunct.),E/l
Androsteendion (bloed),nmol/l
AnGap,mmol/l
Anion-Gap (bloed),mmol/l
Anti Fxa  (bloed),IE/ml
Anti FXa (bloed),IE/ml
Anti Streptolysine-O testwaarde (bloed),IE/ml
Anti-TG (bloed),IE/l
Antithrombine III,None
Antitrombine 3 (bloed),Geen
AP-50 (bloed),Geen
Apolipoprote�ne A1 (bloed),g/l
Apolipoprote�ne B (bloed),g/l
APTT  (bloed),sec
APTT (bloed),sec
APTT Gecorrigeerd (bloed),sec
Arteriele druk,mmHg
ASAT (bloed),E/l
ASAT(=GOT) (divers)-LabZis2,E/l
ASAT,IE/l
ASB,mbar
Ascitespunctie,ml
Aspergillus KWAN (bloed),kE/l
Atazanavir (bloed),mg/l
ATP (bloed),�mol/10^11 PLT
ATP / ADP ratio (bloed),Geen
Autodetubatie - Sedatie uit uren,uur
B-Caroteen (bloed),�mol/l
B-cellen (beenmerg),Geen
B-cellen (bloed),Geen
B.E. (bloed),mmol/l
B.E. (overig),mmol/l
B.E.,mmol/l
B2-MICRO (urine),µg/l
B2-Microglobuline (bloed),mg/l
B2-Microglobuline (urine),µg/l
Backup druk (Set),cmH2O
Barometer druk,mbar
Baso % (bloed),Geen
Baso (bloed),10^9/l
Basofielen,None
BCR-ABL ALL kwan. (beenmerg),Geen
BCR-ABL ALL kwan. (bloed),Geen
BCR-ABL CML kwan.  (bloed),% I.S.
BCR-ABL CML kwan. (beenmerg),Geen
BCR-ABL CML kwan. (bloed),Geen
Beademings Temperatuur,�C
Beat to beat SV,ml
Benzodiazepinen-screening (urine),Geen
BEP.1 (bloed),µg/l
BEP.2 (bloed),mg/l
Beta-Fr (bloed),g/l
BETA-FR. (bloed),Geen
Beta-Trace (bloed),mg/l
Beta-Trace (liquor),mg/l
Beta-Trace (overig),mg/l
Beta-Trace ratio (overig),Geen
Bezinking (bloed),mm/uur
Bezinking,mm
Bili (Liq) (liquor),�mol/l
Bili Totaal,�mol
Bilirubine (bloed),�mol/l
BILIRUBINE (overig),�mol/l
Bilirubine ascitesvocht (ascitesvocht),�mol/l
Bilirubine drainvocht (drain),�mol/l
Bilirubine geconjugeerd,�mol
BIPAP Hoog,mbar
BIPAP Laag Tijd,sec
BIPAP Laag,mbar
BIPAP T1 Evita1,None
BIPAP T1,sec
BIPAP T2 Evita1,None
BK virus DNA kwantitatief PCR (bloed),kopie/ml
Blaasdruk,mmHg
Bladderscan: Inhoud blaas,ml
Blasten % (bloed),Geen
Blasten (bloed),Geen
Blasten abs (bloed),10^9/l
Blasten Imm.FenoTyp (beenmerg),Geen
Bloed-flow,ml/min
Bloedflow ingesteld,ml/min
Bloedflow,ml/min
Bloedingstijd (bloed),min
Bloedingstijd (oud) (bloed),min
Bloedverlies,ml
BMR-gemeten,kcal
BPS score,Geen
Braken,ml
Breathing FiO2(%),None
Bronchoscopie ProcessID,None
BTP ratio (overig),Geen
Buikomvang,cm
C-Peptide (bloed),nmol/l
C.REACT PR (overig),mg/l
C1Est-Rem. (bloed),E/ml
C1Q (bloed ),E/ml
C1q (bloed),mg/l
C3 (bloed),g/l
C3-PROACT. (bloed),g/l
C4 (bloed),g/l
Ca (alb.corr.) (bloed),mmol/l
Ca++ Astrup,mmol/l
CA++(7.4) Astrup,mmol/l
CA++(7.4),mmol/l
CA-125 (bloed),E/ml
CA-15.3 (bloed),E/ml
CA-19.9 (bloed),E/ml
Ca-ion (7.4) (bloed),mmol/l
Ca. geioniseerd,mmol/l
Caion(7.4) (overig),mmol/l
Cal.W.Droog (faeces),kcal/kg
Cal.W.Nat (faeces),kcal/kg
Calcitonine (bloed),ng/l
CALCIUM      (overig),�mol/24uur
Calcium (dialysaat),mmol/l
CALCIUM (overig),mmol/l
CALCIUM (verz. urine),mmol/l
Calcium totaal (bloed),mmol/l
Calcium totaal (urine),mmol/l
Calcium totaal (verz. urine),mmol/24uur
Calcium,mmol/l
Calprotectine (faeces),µg/g
Can-Kreat ratio (urine),µg/mmol
Carbamazepine (bloed),mg/l
Carbamazepine-diol  (bloed),mg/l
Carbamazepine-diol (bloed),mg/l
Cardiac Output,l/min
Cardioversie ProcessID,None
CCI,l/min/m2
CCO,l/min
CD10 (beenmerg),Geen
CD10 (bloed),Geen
CD103 (beenmerg),Geen
CD103 (bloed),Geen
CD117 (beenmerg),Geen
CD117 (bloed),Geen
CD11b (beenmerg),Geen
CD11b (bloed),Geen
CD11c (beenmerg),Geen
CD11c (bloed),Geen
CD123 (beenmerg),Geen
CD13 (beenmerg),Geen
CD13 (bloed),Geen
CD133 (beenmerg),Geen
CD133 (bloed),Geen
CD138 (beenmerg),Geen
CD138 (bloed),Geen
CD14 (beenmerg),Geen
CD14 (bloed),Geen
CD14 PNH (bloed),%neg
CD15 (beenmerg),Geen
CD15 (bloed),Geen
CD157 op granulo 's (bloed),%neg
CD157 op mono 's (bloed),%neg
CD19 (beenmerg),Geen
CD19 (bloed),Geen
CD19/CD103 (bloed),Geen
CD19/CD103/CD25 (beenmerg),Geen
CD19/CD5 (beenmerg),Geen
CD19/CD5 (bloed),Geen
CD1a (beenmerg),Geen
CD1a (bloed),Geen
CD2 (beenmerg),Geen
CD2 (bloed),Geen
CD20 (beenmerg),Geen
CD20 (bloed),Geen
CD22 (beenmerg),Geen
CD22 (bloed),Geen
CD23 (beenmerg),Geen
CD23 (bloed),Geen
CD24 (beenmerg),Geen
CD24 (bloed),Geen
CD24 PNH (bloed),%neg
CD25 (beenmerg),Geen
CD25 (bloed),Geen
CD3 (beenmerg),Geen
CD3 (bloed),Geen
