cdmTableName,cdmFieldName,isRequired,cdmDatatype,userGuidance,etlConventions,isPrimaryKey,isForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique,DQ identifiers
Patient,patient_id,Yes,VARCHAR,Unique identifier for each patient. This is presumed to be a distinct individual.,,Yes,No,,,,,Yes,
Patient,race_name,No,VARCHAR,Patient race string from source data.,,No,No,,,,,No,
Patient,race_category,No,VARCHAR,A standardized CDE description of patient’s race per the US Census permissible values. The source data may contain different strings for race.,,No,No,,,,,No,
Patient,ethnicity_name,No,VARCHAR,Patient ethnicity string from source data.,,No,No,,,,,No,
Patient,ethnicity_category,No,VARCHAR,Description of patient’s ethnicity per the US census definition. The source data may contain different strings for ethnicity.,,No,No,,,,,No,
Patient,sex_name,No,VARCHAR,Patient’s biological sex as given in the source data.,,No,No,,,,,No,
Patient,sex_category,No,VARCHAR,Patient’s biological sex.,,No,No,,,,,No,
Patient,birth_date,No,DATETIME,Patient’s date of birth. Date format should be %Y-%m-%d.,,No,No,,,,,No,
Patient,death_dttm,No,DATETIME,"Patient’s death date, including time. Datetime format should be %Y-%m-%d %H:%M:%S.",,No,No,,,,,No,
Patient,language_name,No,VARCHAR,Patient’s preferred language.,,No,No,,,,,No,
Hospitalization,patient_id,Yes,VARCHAR,"Unique identifier for each patient, linking to the patient table",,No,Yes,Patient,patient_id,,,No,
Hospitalization,hospitalization_id,Yes,VARCHAR,Unique identifier for each hospitalization encounter. Each hospitalization_id represents a unique stay in the hospital,,Yes,No,,,,,Yes,
Hospitalization,hospitalization_joined_id,No,VARCHAR,Unique identifier for each continuous inpatient stay in a health system which may span different hospitals (Optional),,No,No,,,,,No,
Hospitalization,admission_dttm,Yes,DATETIME,Date and time the patient is admitted to the hospital. Datetime format should be %Y-%m-%d %H:%M:%S.,,No,No,,,,,No,
Hospitalization,discharge_dttm,Yes,DATETIME,Date and time the patient is discharged from the hospital. Datetime format should be %Y-%m-%d %H:%M:%S.,,No,No,,,,,No,
Hospitalization,age_at_admission,Yes,INT,"Age of the patient at the time of admission, in years",,No,No,,,,,No,
Hospitalization,admission_type_name,No,VARCHAR,Type of inpatient admission. Original string from the source data,,No,No,,,,,No,
Hospitalization,admission_type_category,No,VARCHAR,Admission disposition mapped to mCIDE categories,,No,No,,,,,No,
Hospitalization,discharge_name,No,VARCHAR,Original discharge disposition name string recorded in the raw data,,No,No,,,,,No,
Hospitalization,discharge_category,No,VARCHAR,Maps discharge_name to a standardized list of discharge categories,,No,No,,,,,No,
Hospitalization,zipcode_nine_digit,No,VARCHAR,"Patient’s 9 digit zip code, used to link with other indices such as ADI and SVI",,No,No,,,,,No,
Hospitalization,zipcode_five_digit,No,VARCHAR,"Patient’s 5 digit zip code, used to link with other indices such as ADI and SVI",,No,No,,,,,No,
Hospitalization,census_block_code,No,VARCHAR,15 digit FIPS code,,No,No,,,,,No,
Hospitalization,census_block_group_code,No,VARCHAR,12 digit FIPS code,,No,No,,,,,No,
Hospitalization,census_tract,No,VARCHAR,11 digit FIPS code,,No,No,,,,,No,
Hospitalization,state_code,No,VARCHAR,2 digit FIPS code,,No,No,,,,,No,
Hospitalization,county_code,No,VARCHAR,5 digit FIPS code,,No,No,,,,,No,
ADT,hospitalization_id,Yes,VARCHAR,ID variable for each patient encounter,,No,Yes,Hospitalization,hospitalization_id,,,No,
ADT,hospital_id,Yes,VARCHAR,Assign a unique ID to each hospital within a health system,,No,No,,,,,No,
ADT,hospital_type,No,VARCHAR,Maps hospital_id to a standardized list of hospital types,,No,No,,,,,No,
ADT,in_dttm,Yes,DATETIME,Start date and time at a particular location. Datetime format should be %Y-%m-%d %H:%M:%S.,,No,No,,,,,No,
ADT,out_dttm,Yes,DATETIME,End date and time at a particular location. Datetime format should be %Y-%m-%d %H:%M:%S.,,No,No,,,,,No,
ADT,location_name,No,VARCHAR,Location of the patient inside the hospital. This field is used to store the patient location from the source data. It is not used for analysis.,,No,No,,,,,No,
ADT,location_category,No,VARCHAR,Maps location_name to a standardized list of ADT location categories,,No,No,,,,,No,
ADT,location_type,No,VARCHAR,Maps location_name to a standardized list of ADT location types,,No,No,,,,,No,
Vitals,hospitalization_id,Yes,VARCHAR,ID variable for each patient encounter.,,No,Yes,Hospitalization,hospitalization_id,,,No,
Vitals,recorded_dttm,Yes,DATETIME,Date and time when the vital is recorded. Datetime format should be %Y-%m-%d %H:%M:%S.,,No,No,,,,,No,
Vitals,vital_name,Yes,VARCHAR,This field is used to store the description of the flowsheet measure from the source data. This field is not used for analysis.,,No,No,,,,,No,
Vitals,vital_category,Yes,VARCHAR,Maps vital_name to a list standard vital sign categories.,,No,No,,,,,No,
