ICD;ICD_Description;APACHE_Group
XXXXXX;Source;https://ccmdb.kuality.ca/index.php?title=APACHE_Acute_Dxs_in_ICD10_codes
J67.90;Allergic bronchopulmonary aspergillosis (ABPA);Non-Operative - Respiratory - Aspiration/poisoning/toxic
J67.99;Hypersensitivity pneumonitis (extrinsic allergic alveoliltis), NOS;Non-Operative - Respiratory - Aspiration/poisoning/toxic
J68.3;Reactive airways dysfunction syndrome (RADS);Non-Operative - Respiratory - Aspiration/poisoning/toxic
J68.9;Respiratory conditions due to inhalation of chemicals, gases, fumes, vapors, NOS;Non-Operative - Respiratory - Aspiration/poisoning/toxic
J69.0;Aspiration pneumonitis;Non-Operative - Respiratory - Aspiration/poisoning/toxic
J70.0;Radiation pneumonitis (acute or chronic);Non-Operative - Respiratory - Aspiration/poisoning/toxic
J70.4;Interstitial lung disease, drug-induced (acute or chronic);Non-Operative - Respiratory - Aspiration/poisoning/toxic
J70.5;Respiratory conditions due to smoke inhalation;Non-Operative - Respiratory - Aspiration/poisoning/toxic
J45.901;Asthma, acute exacerbation;Non-Operative - Respiratory - Asthma/allergy
J45.909;Asthma, without acute exacerbation;Non-Operative - Respiratory - Asthma/allergy
J45.91;Status asthmaticus;Non-Operative - Respiratory - Asthma/allergy
I25.5;Cardiomyopathy, ischemic;Non-Operative - Cardiovascular - Congestive heart failure
I42.0;Cardiomyopathy, dilated;Non-Operative - Cardiovascular - Congestive heart failure
I42.1;Cardiomyopathy, hypertrophic obstructive (HOCM, IHSS);Non-Operative - Cardiovascular - Congestive heart failure
I42.6;Cardiomyopathy, alcoholic;Non-Operative - Cardiovascular - Congestive heart failure
I42.7;Cardiomyopathy, due to infection, drugs or external agents NOS;Non-Operative - Cardiovascular - Congestive heart failure
I42.9;Cardiomyopathy, NOS;Non-Operative - Cardiovascular - Congestive heart failure
I50.0;Congestive heart failure, NOS;Non-Operative - Cardiovascular - Congestive heart failure
I50.1;Congestive heart failure with pulmonary edema;Non-Operative - Cardiovascular - Congestive heart failure
I50.9;Heart failure, NOS;Non-Operative - Cardiovascular - Congestive heart failure
J42;Bronchitis, chronic, infectious or noninfectious;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J43.9;Pulmonary emphysema or bullous disease without COPD;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J44.1;COPD, acute exacerbation;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J44.8;COPD, without exacerbation;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J45.901;Asthma, acute exacerbation;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J45.909;Asthma, without acute exacerbation;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
J45.91;Status asthmaticus;Non-Operative - Respiratory - Chronic obstructive pulmonary disease
I46.1;Sudden cardiac death (and died);Non-Operative - Cardiovascular - Postcardiac arrest
I46.9;Cardiac arrest;Non-Operative - Cardiovascular - Postcardiac arrest
R57.0;Shock, cardiogenic;Non-Operative - Cardiovascular - Cardiogenic shock
I01;Acute rheumatic fever with heart involvement;Non-Operative - Cardiovascular - Hypertension
I09;Rheumatic heart disease, chronic;Non-Operative - Cardiovascular - Hypertension
I10;Hypertension, essential (primary);Non-Operative - Cardiovascular - Hypertension
I10.1;Hypertension, malignant;Non-Operative - Cardiovascular - Hypertension
I09;Rheumatic heart disease, chronic;Non-Operative - Cardiovascular
I23.1;Acute myocardial infarction complication of atrial septal defect (ASD);Non-Operative - Cardiovascular
I23.2;Acute myocardial infarction complication of ventricular septal defect (VSD);Non-Operative - Cardiovascular
I23.3;Acute myocardial infarction complication of cardiac rupture;Non-Operative - Cardiovascular
I23.6;Acute myocardial infarction complication of cardiac (intracardiac) mural thrombus;Non-Operative - Cardiovascular
I23.88;Acute myocardial infarction complication, NOS;Non-Operative - Cardiovascular
I25.1;Coronary artery disease, chronic (atherosclerosis, chronic ischemic heart disease);Non-Operative - Cardiovascular
I25.2;Past history, myocardial infarction (old MI);Non-Operative - Cardiovascular
I25.3;Myocardial aneurysm (any part);Non-Operative - Cardiovascular
I25.5;Cardiomyopathy, ischemic;Non-Operative - Cardiovascular
I31.1;Pericarditis, chronic;Non-Operative - Cardiovascular
I34.0;Mitral valve insufficiency (regurgitation);Non-Operative - Cardiovascular
I34.1;Mitral valve prolapse;Non-Operative - Cardiovascular
I34.2;Mitral valve stenosis;Non-Operative - Cardiovascular
I34.9;Mitral valve disorder, NOS;Non-Operative - Cardiovascular
I35.0;Aortic valve stenosis;Non-Operative - Cardiovascular
I35.1;Aortic valve insufficiency (regurgitation);Non-Operative - Cardiovascular
I35.9;Aortic valve disorder, NOS;Non-Operative - Cardiovascular
I36.0;Tricuspid valve stenosis;Non-Operative - Cardiovascular
I36.1;Tricuspid valve insufficiency;Non-Operative - Cardiovascular
I36.9;Tricuspid valve disorder, NOS;Non-Operative - Cardiovascular
I37.0;Pulmonary valve stenosis;Non-Operative - Cardiovascular
I37.1;Pulmonary valve insufficiency (regurgitation);Non-Operative - Cardiovascular
I37.9;Pulmonary valve disorder, NOS;Non-Operative - Cardiovascular
I38;Endocarditis, infective, chronic;Non-Operative - Cardiovascular
I42.0;Cardiomyopathy, dilated;Non-Operative - Cardiovascular
I42.1;Cardiomyopathy, hypertrophic obstructive (HOCM, IHSS);Non-Operative - Cardiovascular
I42.6;Cardiomyopathy, alcoholic;Non-Operative - Cardiovascular
I42.7;Cardiomyopathy, due to infection, drugs or external agents NOS;Non-Operative - Cardiovascular
I42.9;Cardiomyopathy, NOS;Non-Operative - Cardiovascular
I50.0;Congestive heart failure, NOS;Non-Operative - Cardiovascular
I50.1;Congestive heart failure with pulmonary edema;Non-Operative - Cardiovascular
I50.9;Heart failure, NOS;Non-Operative - Cardiovascular
I20.0;Angina pectoris, unstable;Non-Operative - Cardiovascular - Coronary artery disease
I20.9;Angina pectoris, stable or NOS;Non-Operative - Cardiovascular - Coronary artery disease
I21.3;Myocardial infarction (STEMI), acute (AMI), transmural (Q-wave);Non-Operative - Cardiovascular - Coronary artery disease
I21.4;Myocardial infarction (NSTEMI), acute (AMI), subendocardial/non-transmural (non-Q-wave);Non-Operative - Cardiovascular - Coronary artery disease
I21.9;Myocardial infarction, acute (AMI), NOS;Non-Operative - Cardiovascular - Coronary artery disease
I23.1;Acute myocardial infarction complication of atrial septal defect (ASD);Non-Operative - Cardiovascular - Coronary artery disease
I23.2;Acute myocardial infarction complication of ventricular septal defect (VSD);Non-Operative - Cardiovascular - Coronary artery disease
I23.3;Acute myocardial infarction complication of cardiac rupture;Non-Operative - Cardiovascular - Coronary artery disease
I23.6;Acute myocardial infarction complication of cardiac (intracardiac) mural thrombus;Non-Operative - Cardiovascular - Coronary artery disease
I23.88;Acute myocardial infarction complication, NOS;Non-Operative - Cardiovascular - Coronary artery disease
I24.1;Acute myocardial infarction complication of Dressler's syndrome (postmyocardial infarction syndrome);Non-Operative - Cardiovascular - Coronary artery disease
I24.9;Ischemic heart disease, acute NOS;Non-Operative - Cardiovascular - Coronary artery disease
I25.1;Coronary artery disease, chronic (atherosclerosis, chronic ischemic heart disease);Non-Operative - Cardiovascular - Coronary artery disease
I25.2;Past history, myocardial infarction (old MI);Non-Operative - Cardiovascular - Coronary artery disease
I25.3;Myocardial aneurysm (any part);Non-Operative - Cardiovascular - Coronary artery disease
I25.5;Cardiomyopathy, ischemic;Non-Operative - Cardiovascular - Coronary artery disease
S06.4;Epidural hemorrhage, injury/trauma;Post-Operative - Craniotomy for ICH/SDH/SAH
S06.5;Subdural hemorrhage/hematoma, injury/trauma;Post-Operative - Craniotomy for ICH/SDH/SAH
S06.6;Subarachnoid hemorrhage, injury/trauma;Post-Operative - Craniotomy for ICH/SDH/SAH
S06.8;Intracranial hemorrhage, injury/trauma;Post-Operative - Craniotomy for ICH/SDH/SAH
C72.0;Spinal cord, primary malignancy;Post-Operative - Craniotomy for neoplasm
C72.9;Central nervous system NOS, primary malignancy;Post-Operative - Craniotomy for neoplasm
E14.10;Diabetic ketoacidosis (DKA);Non-Operative - Other - Diabetic ketoacidosis
I71.0;Aortic dissection (any part);Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.1;Aortic aneurysm, abdominal with rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.2;Aortic aneurysm, thoracic without mention of rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.3;Aortic aneurysm, thoracic with rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.4;Aortic aneurysm, abdominal without mention of rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.8;Aortic aneurysm, NOS with rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
I71.9;Aortic aneurysm, NOS without mention of rupture;Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm
F10.0;Alcohol (ethanol) acute intoxication (drunkenness);Non-Operative - Other - Drug overdose
F11.0;Opioid/narcotic, acute intoxication;Non-Operative - Other - Drug overdose
F12.0;Cannabis/cannabinoids, acute intoxication;Non-Operative - Other - Drug overdose
F13.0;Sedative or hypnotic, acute intoxication;Non-Operative - Other - Drug overdose
F14.0;Cocaine, acute intoxication;Non-Operative - Other - Drug overdose
F15.0;Stimulants incl methamphetamine, acute intoxication;Non-Operative - Other - Drug overdose
F16.0;Hallucinogen, acute intoxication;Non-Operative - Other - Drug overdose
F18.0;Solvent (organic, inhaled or ingested), intoxication, acute;Non-Operative - Other - Drug overdose
F19.0;Psychoactive substance NOS, acute intoxication;Non-Operative - Other - Drug overdose
T38.3;Insulin or other antidiabetes drug, overdose/toxicity;Non-Operative - Other - Drug overdose
T38.8;Hormone or hormone agonist NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T39.0;Aspirin or other salicylate or NSAID, overdose/toxicity;Non-Operative - Other - Drug overdose
T39.1;Acetaminophen (tylenol, paracematol), overdose/toxicity;Non-Operative - Other - Drug overdose
T39.3;Nonsteroidal antiinflammatory drug (NSAID), overdose/toxicity;Non-Operative - Other - Drug overdose
T40.5;Cocaine, overdose/toxicity;Non-Operative - Other - Drug overdose
T40.6;Opioid/narcotic, overdose/toxicity;Non-Operative - Other - Drug overdose
T40.9;Hallucinogen, overdose/toxicity;Non-Operative - Other - Drug overdose
T41;Anesthetic gas, overdose/toxicity;Non-Operative - Other - Drug overdose
T42.4;Benzodiazepine, overdose/toxicity;Non-Operative - Other - Drug overdose
T42.6;Antiseizure drug NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T42.7;Sedative or hypnotic, overdose/toxicity;Non-Operative - Other - Drug overdose
T43.0;Tricyclic antidepressant, overdose/toxicity;Non-Operative - Other - Drug overdose
T43.2;Antidepressant drug NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T43.6;Stimulants incl. methamphetamine, poisoning;Non-Operative - Other - Drug overdose
T43.9;Psychiatric drug NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T44.7;Beta-blocker, overdose/toxicity;Non-Operative - Other - Drug overdose
T45.1;Antineoplastic/chemotherapy or immunosuppressive drugs, overdose/toxicity;Non-Operative - Other - Drug overdose
T45.5;Anticoagulant, overdose/toxicity;Non-Operative - Other - Drug overdose
T45.6;Thrombolytic drug, overdose/toxicity;Non-Operative - Other - Drug overdose
T46.1;Calcium channel blocker, overdose/toxicity;Non-Operative - Other - Drug overdose
T46.2;Anti-arrhythmic, overdose/toxicity;Non-Operative - Other - Drug overdose
T46.9;Cardiac/cardiovascular drug NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T48.1;Neuromuscular blocker/paralytic, overdose/toxicity;Non-Operative - Other - Drug overdose
T50.9;Drug or biological substance/agent NOS, overdose/toxicity;Non-Operative - Other - Drug overdose
T51.0;Alcohol (ethanol), poisoning;Non-Operative - Other - Drug overdose
T51.8;Toxic alcohols, poisoning;Non-Operative - Other - Drug overdose
T52;Solvent (organic, inhaled or ingested), poisoning;Non-Operative - Other - Drug overdose
T54.2;Acid, poisoning;Non-Operative - Other - Drug overdose
T54.3;Alkali, poisoning;Non-Operative - Other - Drug overdose
T54.9;Acid or alkali (not specified which) or other corrosive substance, poisoning;Non-Operative - Other - Drug overdose
T56;Metal or their compounds or inorganic substances NOS, poisoning;Non-Operative - Other - Drug overdose
T58;Carbon monoxide, poisoning;Non-Operative - Other - Drug overdose
T59;Chemical gases or fumes or vapors NOS, poisoning;Non-Operative - Other - Drug overdose
T60;Pesticides, poisoning;Non-Operative - Other - Drug overdose
T62.9;Food, poisoning;Non-Operative - Other - Drug overdose
T63;Venomous animals, poisoning;Non-Operative - Other - Drug overdose
K22.14;Ulcer of esophagus, with hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
K22.6;Mallory-Weiss tear/syndrome, with or without hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
K25.4;Gastric ulcer, with hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
K26.4;Duodenal ulcer, with hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
K27.4;Peptic ulcer, site unspecified, with hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
K31.80;Angiodysplasia of stomach or duodenum, with hemorrhage;Non-Operative - Other - Gastrointestinal bleeding
