icd9,icd10,description
1,6A750Z4,"Ultrasound Therapy of Head and Neck Vessels, Single"
1,6A751Z4,"Ultrasound Therapy of Head and Neck Vessels, Multiple"
2,6A750Z5,"Ultrasound Therapy of Heart, Single"
2,6A751Z5,"Ultrasound Therapy of Heart, Multiple"
3,6A750Z6,"Ultrasound Therapy of Peripheral Vessels, Single"
3,6A751Z6,"Ultrasound Therapy of Peripheral Vessels, Multiple"
9,6A750Z7,"Ultrasound Therapy of Other Vessels, Single"
9,6A750ZZ,"Ultrasound Therapy, Circulatory, Single"
9,6A751Z7,"Ultrasound Therapy of Other Vessels, Multiple"
9,6A751ZZ,"Ultrasound Therapy, Circulatory, Multiple"
9,6A930ZZ,"Shock Wave Therapy, Musculoskeletal, Single"
9,6A931ZZ,"Shock Wave Therapy, Musculoskeletal, Multiple"
10,3E00X05,"Introduction of Other Antineoplastic into Skin and Mucous Membranes, External Approach"
10,3E01305,"h Introduction of Other Antineoplastic into Subcutaneous Tissue, Percutaneous Approach"
10,3E02305,"Introduction of Other Antineoplastic into Muscle, Percutaneous Approach"
10,3E0A305,"Introduction of Other Antineoplastic into Bone Marrow, Percutaneous Approach"
10,3E0F305,"Introduction of Other Antineoplastic into Respiratory Tract, Percutaneous Approach"
10,3E0F705,"g Introduction of Other Antineoplastic into Respiratory Tract, Via Natural or Artificial Opening"
10,3E0F805,"Introduction of Other Antineoplastic into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
10,3E0G305,"h Introduction of Other Antineoplastic into Upper GI, Percutaneous Approach"
10,3E0G705,"g Introduction of Other Antineoplastic into Upper GI, Via Natural or Artificial Opening"
10,3E0G805,"Introduction of Other Antineoplastic into Upper GI, Via Natural or Artificial Opening Endoscopic"
10,3E0H305,"Introduction of Other Antineoplastic into Lower GI, Percutaneous Approach"
10,3E0H705,"Introduction of Other Antineoplastic into Lower GI, Via Natural or Artificial Opening"
10,3E0H805,"Introduction of Other Antineoplastic into Lower GI, Via Natural or Artificial Opening Endoscopic"
10,3E0J305,"Introduction of Other Antineoplastic into Biliary and Pancreatic Tract, Percutaneous Approach"
10,3E0J705,"Introduction of Other Antineoplastic into Biliary and Pancreatic Tract, Via Natural or Artificial Opening"
10,3E0J805,"o Introduction of Other Antineoplastic into Biliary and Pancreatic Tract, Via Natural or Artificial Opening Endoscopic"
10,3E0K305,"h Introduction of Other Antineoplastic into Genitourinary Tract, Percutaneous Approach"
10,3E0K705,"Introduction of Other Antineoplastic into Genitourinary Tract, Via Natural or Artificial Opening"
10,3E0K805,"Introduction of Other Antineoplastic into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
10,3E0L305,"Introduction of Other Antineoplastic into Pleural Cavity, Percutaneous Approach"
10,3E0L705,"Introduction of Other Antineoplastic into Pleural Cavity, Via Natural or Artificial Opening"
10,3E0M305,"Introduction of Other Antineoplastic into Peritoneal Cavity, Percutaneous Approach"
10,3E0M705,"Introduction of Other Antineoplastic into Peritoneal Cavity, Via Natural or Artificial Opening"
10,3E0N305,"Introduction of Other Antineoplastic into Male Reproductive, Percutaneous Approach"
10,3E0N705,"Introduction of Other Antineoplastic into Male Reproductive, Via Natural or Artificial Opening"
10,3E0N805,"Introduction of Other Antineoplastic into Male Reproductive, Via Natural or Artificial Opening Endoscopic"
10,3E0P305,"Introduction of Other Antineoplastic into Female Reproductive, Percutaneous Approach"
10,3E0P705,"g Introduction of Other Antineoplastic into Female Reproductive, Via Natural or Artificial Opening"
10,3E0P805,"Introduction of Other Antineoplastic into Female Reproductive, Via Natural or Artificial Opening Endoscopic"
10,3E0Q005,"Introduction of Other Antineoplastic into Cranial Cavity and Brain, Open Approach"
