ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
50856,Acetaminophen [Presence] in Serum or Plasma,Acetaminophen,Blood,Chemistry,3297-9,Acetaminophen [Presence] in Serum or Plasma,False,3298-7,Acetaminophen [Mass/volume] in Serum or Plasma
51069,Albumin [Mass/volume] in Urine,"Albumin, Urine",Urine,Chemistry,1754-1,Albumin [Mass/volume] in Urine,False,14957-5,Microalbumin [Mass/volume] in Urine
51462,Amorphous sediment [Presence] in Urine sediment by Light microscopy,Amorphous Crystals,Urine,Hematology,8246-1,Amorphous sediment [Presence] in Urine sediment by Light microscopy,False,60340-7,Crystals.amorphous [Presence] in Urine sediment by Light microscopy
51071,Amphetamines [Presence] in Urine,"Amphetamine Screen, Urine",Urine,Chemistry,3349-8,Amphetamines [Presence] in Urine,False,19343-3,Amphetamine [Presence] in Urine by Screen method
51073,Amylase/Creatinine [Ratio] in Urine,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry,34235-2,Amylase/Creatinine [Ratio] in Urine,False,,Amylase/Creatinine [Ratio] in Urine
51137,Anisocytosis [Presence] in Blood by Light microscopy,Anisocytosis,Blood,Hematology,702-1,Anisocytosis [Presence] in Blood by Light microscopy,False,38892-6,Anisocytosis [Presence] in Blood
51144,Band form neutrophils [#/volume] in Blood by Manual count,Bands,Blood,Hematology,763-3,Band form neutrophils [#/volume] in Blood by Manual count,False,26508-2,Band form neutrophils/100 leukocytes in Blood
51074,Barbiturates [Presence] in Urine,"Barbiturate Screen, Urine",Urine,Chemistry,3377-9,Barbiturates [Presence] in Urine,False,19270-8,Barbiturates [Presence] in Urine by Screen method
51146,Basophils [#/volume] in Blood by Automated count,Basophils,Blood,Hematology,704-7,Basophils [#/volume] in Blood by Automated count,False,706-2,Basophils/100 leukocytes in Blood by Automated count
51075,Benzodiazepines [Presence] in Urine,"Benzodiazepine Screen, Urine",Urine,Chemistry,3390-2,Benzodiazepines [Presence] in Urine,False,14316-4,Benzodiazepines [Presence] in Urine by Screen method
50881,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Beta-2 Microglobulin,Blood,Chemistry,32731-2,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,False,1952-1,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma
51148,Blasts [#/volume] in Blood by Manual count,Blasts,Blood,Hematology,708-8,Blasts [#/volume] in Blood by Manual count,False,26446-5,Blasts/100 leukocytes in Blood
51217,CD235a cells/100 cells in Blood,Glyco A,Blood,Hematology,17221-3,CD235a cells/100 cells in Blood,False,42502-5,Glycolate [Moles/volume] in Serum or Plasma
51421,CD235a cells/100 cells in Body fluid,Glyco A,Other Body Fluid,Hematology,57430-1,CD235a cells/100 cells in Body fluid,False,55864-3,Glycolate [Moles/volume] in Body fluid
51336,CD235a cells/100 cells in Bone marrow,Glyco A,Bone Marrow,Hematology,33208-0,CD235a cells/100 cells in Bone marrow,False,55864-3,Glycolate [Moles/volume] in Body fluid
51176,CD3 cells [#/volume] in Blood,"CD3 Cells, Percent",Blood,Hematology,8122-4,CD3 cells [#/volume] in Blood,False,8124-0,CD3 cells/100 cells in Blood
51130,CD3 cells/100 cells in Blood,Absolute CD3 Count,Blood,Hematology,8124-0,CD3 cells/100 cells in Blood,False,8122-4,CD3 cells [#/volume] in Blood
51334,CD8+HLA-DR+ cells/100 cells in Bone marrow,CD8,Bone Marrow,Hematology,51372-1,CD8+HLA-DR+ cells/100 cells in Bone marrow,False,32535-7,CD3+CD8+ (T8 suppressor) cells/100 cells in Bone marrow
50893,Calcium [Moles/volume] in Serum or Plasma,"Calcium, Total",Blood,Chemistry,2000-8,Calcium [Moles/volume] in Serum or Plasma,False,17861-6,Calcium [Mass/volume] in Serum or Plasma
51077,Calcium [Moles/volume] in Urine,"Calcium, Urine",Urine,Chemistry,2004-0,Calcium [Moles/volume] in Urine,False,17862-4,Calcium [Mass/volume] in Urine
51089,Cannabinoids [Presence] in Urine,Marijuana,Urine,Chemistry,3427-2,Cannabinoids [Presence] in Urine,False,3426-4,Tetrahydrocannabinol [Presence] in Urine
51027,"Carbon dioxide, total [Moles/volume] in Body fluid","Bicarbonate, Other Fluid",Other Body Fluid,Chemistry,11211-0,"Carbon dioxide, total [Moles/volume] in Body fluid",False,16459-0,Bicarbonate [Moles/volume] in Body fluid
51061,"Carbon dioxide, total [Moles/volume] in Stool","Bicarbonate, Stool",Stool,Chemistry,14040-0,"Carbon dioxide, total [Moles/volume] in Stool",False,22735-5,Bicarbonate [Moles/volume] in Specimen
51138,Cardiolipin IgG Ab [Units/volume] in Serum or Plasma,Anticardiolipin Antibody IgG,Blood,Hematology,8065-5,Cardiolipin IgG Ab [Units/volume] in Serum or Plasma,False,3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay
