index,itemid (omop_source_code),Label,omop_concept_name,comment
0,211,Heart Rate,Heart rate,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
2,646,SpO2,Oxygen saturation in Arterial blood by Pulse oximetry,
3,618,Respiratory Rate,Respiratory rate,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
4,212,Heart Rhythm,Heart rate rhythm,
14,51,Arterial BP [Systolic],Systolic blood pressure,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
15,8368,Arterial BP [Diastolic],Diastolic blood pressure,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
16,52,Arterial BP Mean,Mean blood pressure,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
29,3603,Resp Rate,Respiratory rate,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
33,455,NBP [Systolic],Systolic blood pressure by Noninvasive,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
34,8441,NBP [Diastolic],Diastolic blood pressure by Noninvasive,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
35,456,NBP Mean,Mean blood pressure by Noninvasive,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
42,113,CVP,Central venous pressure (CVP),same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
45,467,O2 Delivery Device,Oxygen delivery system,
57,184,Eye Opening,Glasgow coma score eye opening,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
58,723,Verbal Response,Glasgow coma score verbal,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
59,454,Motor Response,Glasgow coma score motor,same as in original MIMIC mapping (LOINC -> SNOMED happens in code)
60,198,GCS Total,Glasgow coma score total,
79,678,Temperature F,Temperature Fahrenheit,
80,677,Temperature C (calc),Temperature,
92,3420,FIO2,Oxygen/Total gas setting [Volume Fraction] Ventilator,
103,190,FiO2 Set,Oxygen/Total gas setting [Volume Fraction] Ventilator,
126,40,Airway Type,Oxygen delivery system,
133,722,Ventilator Type,Ventilator type,
204,506,PEEP Set,Positive end expiratory pressure setting Ventilator,
210,720,Ventilator Mode,Ventilation mode Ventilator,
214,615,Resp Rate (Total),Breath rate spontaneous and mechanical --on ventilator,
233,450,Minute Volume(Obser),,-> not mapped
240,218,High Insp. Pressure,,-> not mapped (seems to be the upper limit of inspiratory pressure since multiples of 5)
241,3509,Mode,Ventilation mode Ventilator,
242,470,O2 Flow (lpm),Oxygen gas flow Oxygen delivery system,
243,444,Mean Airway Pressure,Mean airway pressure,
244,219,High Resp. Rate,,-> not mapped (seems to be the upper limit of respiratory rate since multiples of 5)
246,38,Airway,Oxygen delivery system,
247,676,Temperature C,Temperature,
250,679,Temperature F (calc),Temperature Fahrenheit,
278,505,PEEP,PEEP Respiratory system --on ventilator,
292,3437,Flowrate (l/m),,Oxygen gas flow Oxygen delivery system -> is in "cmH20"?
299,8474,Responds to Stimuli [Value],,Glasgow coma score motor -> needs processsing since values are No Response - Extension - Flexion - Withdraws - Localizes - Other/Remarks
