ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
51346,Blasts/100 leukocytes in Cerebral spinal fluid,Blasts,Cerebrospinal Fluid (CSF),Hematology,26447-3,Blasts/100 leukocytes in Cerebral spinal fluid,false,,
51347,Eosinophils/100 leukocytes in Cerebral spinal fluid,Eosinophils,Cerebrospinal Fluid (CSF),Hematology,26451-5,Eosinophils/100 leukocytes in Cerebral spinal fluid,false,,
51348,Hematocrit [Volume Fraction] of Cerebral spinal fluid,"Hematocrit, CSF",Cerebrospinal Fluid (CSF),Hematology,30398-2,Hematocrit [Volume Fraction] of Cerebral spinal fluid,false,,
51349,Segmented neutrophils/100 leukocytes in Cerebral spinal fluid,Hypersegmented Neutrophils,Cerebrospinal Fluid (CSF),Hematology,26506-6,Segmented neutrophils/100 leukocytes in Cerebral spinal fluid,false,,
51350,,Immunophenotyping,Cerebrospinal Fluid (CSF),Hematology,,,true,,
51351,Lymphocytes/100 leukocytes in Cerebral spinal fluid,Lymphs,Cerebrospinal Fluid (CSF),Hematology,26479-6,Lymphocytes/100 leukocytes in Cerebral spinal fluid,false,,
51352,Macrophages/100 leukocytes in Cerebral spinal fluid,Macrophage,Cerebrospinal Fluid (CSF),Hematology,30426-1,Macrophages/100 leukocytes in Cerebral spinal fluid,false,,
51353,Mesothelial cells/100 leukocytes in Cerebral spinal fluid,Mesothelial cells,Cerebrospinal Fluid (CSF),Hematology,30429-5,Mesothelial cells/100 leukocytes in Cerebral spinal fluid,false,,
51354,Metamyelocytes/100 leukocytes in Cerebral spinal fluid,Metamyelocytes,Cerebrospinal Fluid (CSF),Hematology,30366-9,Metamyelocytes/100 leukocytes in Cerebral spinal fluid,false,,
51355,Monocytes/100 leukocytes in Cerebral spinal fluid,Monocytes,Cerebrospinal Fluid (CSF),Hematology,26486-1,Monocytes/100 leukocytes in Cerebral spinal fluid,false,,
51356,Myelocytes/100 leukocytes in Cerebral spinal fluid,Myelocytes,Cerebrospinal Fluid (CSF),Hematology,30447-7,Myelocytes/100 leukocytes in Cerebral spinal fluid,false,,
51357,Nucleated erythrocytes/100 cells in Cerebral spinal fluid,NRBC,Cerebrospinal Fluid (CSF),Hematology,48778-5,Nucleated erythrocytes/100 cells in Cerebral spinal fluid,false,,
51358,,Other,Cerebrospinal Fluid (CSF),Hematology,,,true,,
51359,Plasma cells/100 leukocytes in Cerebral spinal fluid,Plasma,Cerebrospinal Fluid (CSF),Hematology,47413-0,Plasma cells/100 leukocytes in Cerebral spinal fluid,false,,
51360,Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,Polys,Cerebrospinal Fluid (CSF),Hematology,26517-3,Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,false,,
51361,,Promyelocytes,Cerebrospinal Fluid (CSF),Hematology,,,true,,
51362,Erythrocytes [#/volume] in Cerebral spinal fluid,"RBC, CSF",Cerebrospinal Fluid (CSF),Hematology,26454-9,Erythrocytes [#/volume] in Cerebral spinal fluid,false,,
51363,Leukocytes [#/volume] in Cerebral spinal fluid,"WBC, CSF",Cerebrospinal Fluid (CSF),Hematology,26465-5,Leukocytes [#/volume] in Cerebral spinal fluid,false,,
51364,,Young,Cerebrospinal Fluid (CSF),Hematology,,,true,,
51365,Variant lymphocytes/100 leukocytes in Synovial fluid,Atypical Lymphocytes,Joint Fluid,Hematology,33371-6,,true,33371-6,Variant lymphocytes/100 leukocytes in Synovial fluid
51366,Band form neutrophils/100 leukocytes in Synovial fluid,Bands,Joint Fluid,Hematology,33361-7,,true,33361-7,Band form neutrophils/100 leukocytes in Synovial fluid
