sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
90019,CIPROFLOXACIN,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330775790,1797513,ciprofloxacin,Drug,MAPS_TO,,<auto>,1738328015168,
90281,EDWARDSIELLA TARDA,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4252896,Edwardsiella tarda,Observation,MAPS_TO,,<auto>,1738328015281,
90968,STAPHYLOCOCCUS COHNII,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4281089,Staphylococcus cohnii,Observation,MAPS_TO,,<auto>,1738328015427,
80280,VIRIDANS STREPTOCOCCI,-1,,0.80,APPROVED,EQUAL,Finn Fassbender,1738330362550,4136500,"Streptococcus, viridans group",Observation,MAPS_TO,,<auto>,1738328015438,
90132,LYME SEROLOGY,-1,,0.49,UNCHECKED,UNREVIEWED,,0,4136445,Malaria serology,Measurement,MAPS_TO,,<auto>,1738328015450,
90509,YERSINIA SP.,-1,,0.73,UNCHECKED,UNREVIEWED,,0,4262819,Yersinia,Observation,MAPS_TO,,<auto>,1738328015453,
90667,TRICHOSPORON MUCOIDES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4348457,Cutaneotrichosporon mucoides,Observation,MAPS_TO,,<auto>,1738328015492,
80204,ENTEROCOCCUS CASSELIFLAVUS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329926896,4149104,Enterococcus casseliflavus,Observation,MAPS_TO,,<auto>,1738328015493,
80065,CRYPTOCOCCUS NEOFORMANS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329338088,4284105,Cryptococcus neoformans,Observation,MAPS_TO,,<auto>,1738328015497,
90359,NEISSERIA SUBFLAVA,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4299086,Neisseria subflava,Observation,MAPS_TO,,<auto>,1738328015501,
80301,CHRYSEOBACTERIUM MENINGOSEPTICUM,-1,,0.76,APPROVED,EQUAL,Finn Fassbender,1738330506181,4138034,Elizabethkingia meningoseptica,Observation,MAPS_TO,,Finn Fassbender,1738330505190,
