APACHE version	APACHE diagnostic category	APACHE code	coefficient
II	Non-Operative - Respiratory - Asthma/allergy		-2.108
II	Non-Operative - Respiratory - Chronic obstructive pulmonary disease		-0.367
II	Non-Operative - Respiratory - Pulmonary edema (non-cardiogenic)		-0.251
II	Non-Operative - Respiratory - Postrespiratory arrest		-0.168
II	Non-Operative - Respiratory - Aspiration/poisoning/toxic		-0.142
II	Non-Operative - Respiratory - Pulmonary embolus		-0.128
II	Non-Operative - Respiratory - Infection		0
II	Non-Operative - Respiratory - Neoplasm		0.891
II	Non-Operative - Cardiovascular - Hypertension		-1.798
II	Non-Operative - Cardiovascular - Rhythm disturbance		-1.368
II	Non-Operative - Cardiovascular - Congestive heart failure		-0.424
II	Non-Operative - Cardiovascular - Hemorrhagic shock/hypovolemia		-0.493
II	Non-Operative - Cardiovascular - Coronary artery disease		-0.191
II	Non-Operative - Cardiovascular - Sepsis		0.113
II	Non-Operative - Cardiovascular - Postcardiac arrest		0.393
II	Non-Operative - Cardiovascular - Cardiogenic shock		-0.259
II	Non-Operative - Cardiovascular - Dissecting thoracic/abdominal aneurysm		0.731
II	Non-Operative - Trauma - Multiple trauma		-1.228
II	Non-Operative - Trauma - Head trauma		-0.517
II	Non-Operative - Neurologic - Seizure disorder		-0.584
II	Non-Operative - Neurologic - ICD/SDH/SAH		-0.723
II	Non-Operative - Other - Drug overdose		-3.353
II	Non-Operative - Other - Diabetic ketoacidosis		-1.507
II	Non-Operative - Other - Gastrointestinal bleeding		0.334
II	Non-Operative - Metabolic/Renal		-0.885
II	Non-Operative - Respiratory		-0.890
II	Non-Operative - Neurologic		-0.759
II	Non-Operative - Cardiovascular		0.470
II	Non-Operative - Gastrointestinal		0.501
II	Post-Operative - Multiple trauma		-1.684
II	Post-Operative - Admission due to chronic cardiovascular disease		-1.376
II	Post-Operative - Peripheral vascular surgery		-1.315
II	Post-Operative - Heart valve surgery		-1.261
II	Post-Operative - Craniotomy for neoplasm		-1.245
II	Post-Operative - Renal surgery for neoplasm		-1.204
II	Post-Operative - Renal transplant		-1.042
II	Post-Operative - Head trauma		-0.955
II	Post-Operative - Thoracic surgery for neoplasm		-0.802
II	Post-Operative - Craniotomy for ICH/SDH/SAH		-0.788
II	Post-Operative - Laminectomy and other spinal cord surgery		-0.699
II	Post-Operative - Hemorrhagic shock/hypovolemia		-0.682
II	Post-Operative - Gastrointestinal bleeding		-0.617
II	Post-Operative - GI surgery for neoplasm		-0.248
II	Post-Operative - Respiratory insufficiency after surgery		-0.140
II	Post-Operative - Gastrointestinal perforation/obstruction		-0.060
II	Post-Operative - Sepsis		0.113
II	Post-Operative - Postcardiac arrest		0.393
II	Post-Operative - Postrespiratory arrest		-0.168
II	Post-Operative - Neurologic		-1.150
II	Post-Operative - Cardiovascular		-0.797
II	Post-Operative - Respiratory		-0.610
II	Post-Operative - Gastrointestinal		-0.613
II	Post-Operative - Metabolic/Renal		-0.196
IV	Non-Operative - Cardiovascular - Infarction, acute myocardial (MI), anterior	AMI_ANT	0.102949765
IV	Non-Operative - Cardiovascular - Infarction, acute myocardial (MI), inferolateral	AMI_INFRLATR	-0.152525079
IV	Non-Operative - Cardiovascular - Infarction, acute myocardial (MI), non-Q-wave	AMI_NONQ	-0.270872458
IV	Non-Operative - Cardiovascular - Infarction, acute myocardial (MI), none of the above	AMI_OTHER	
IV	Non-Operative - Cardiovascular - Anaphylaxis	CVOTH	-0.369658509
IV	Non-Operative - Cardiovascular - Aneurysm, dissecting aortic	MEDAORT	0.649149305
IV	Non-Operative - Cardiovascular - Aneurysm/pseudoaneurysm, other	PERIART	-0.502752032
IV	Non-Operative - Cardiovascular - Angina, stable (asymptomatic or stable pattern of symptoms w/ meds)	CHESTPAIN	-1.122354572
IV	Non-Operative - Cardiovascular - Angina, unstable (angina interferes w/ quality of life or meds are tolerated poorly)	USTAANG	-1.212730735
